OrphaCode,Name,Prevalence,ExpertLink
166024,Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome,4.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166024
58,Alexander disease,0.037 (Japan); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58
166032,Multiple epiphyseal dysplasia-miniepiphyses syndrome,2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166032
61,Alpha-mannosidosis,0.1 (Europe); 0.09 (Australia); 0.13 (Norway); 0.09 (Netherlands); 0.12 (Portugal); 0.38 (Czech Republic); 0.07 (Sweden),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61
166029,Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome,3.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166029
166038,"Metaphyseal chondrodysplasia, Kaitila type",2.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166038
93,Aspartylglucosaminuria,0.2 (Australia); 0.0 (Worldwide); 0.62 (Sweden); 3.35 (Finland),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93
166035,Brachydactyly-short stature-retinitis pigmentosa syndrome,12.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166035
585,Multiple sulfatase deficiency,154.0 (Worldwide); 0.2 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=585
118,Beta-mannosidosis,0.14 (Europe); 0.16 (Czech Republic); 0.13 (Netherlands); 0.12 (Portugal); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118
141,Canavan disease,0.0 (Worldwide); 7.0 (Specific population); 1.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=141
166063,Pontocerebellar hypoplasia type 4,10.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166063
166078,Von Willebrand disease type 1,0.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166078
166073,Pontocerebellar hypoplasia type 6,10.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166073
213,Cystinosis,0.75 (Worldwide); 0.5 (Europe); 0.31 (France); 0.59 (Germany); 2.1 (United Kingdom); 0.52 (Australia); 1.5 (Europe); 0.87 (Denmark); 0.38 (Sweden); 1.6 (Specific population),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=213
166084,Von Willebrand disease type 2A,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166084
333,Farber disease,96.0 (Worldwide); 0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=333
166081,Von Willebrand disease type 2,0.935 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166081
349,Fucosidosis,161.0 (Worldwide); 0.0 (Worldwide); 0.1 (Sweden); 0.63 (Cuba),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=349
166090,Von Willebrand disease type 2M,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166090
365,Glycogen storage disease due to acid maltase deficiency,0.8 (Europe); 0.17 (Portugal); 0.83 (Italy); 2.25 (Netherlands); 0.37 (Czech Republic); 11.5 (Austria); 2.5 (United States); 0.68 (Australia); 2.0 (China); 0.0 (Worldwide); 0.72 (Sweden); 2.3 (Israel); 4.8 (Specific population); 3.0 (Europe),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=365
166087,Von Willebrand disease type 2B,0.0 (Worldwide),http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=166087
